idx,city,country,iso3,capital,lat,lng,admin_name,population
6584,Bedford,United Kingdom,GBR,,52.135,-0.47,Bedford,92407.0
6585,South Gate,United States,USA,,33.9447,-118.1926,California,92381.0
6586,Errachidia,Morocco,MAR,admin,31.9319,-4.4244,Drâa-Tafilalet,92374.0
6587,Tatakan,Indonesia,IDN,,-6.1116,106.1036,Banten,92361.0
6588,Sepatan,Indonesia,IDN,,-6.1143,106.5784,Jawa Barat,92353.0
6589,Kitakami,Japan,JPN,,39.2867,141.1132,Iwate,92348.0
6590,Serra Talhada,Brazil,BRA,,-7.9833,-38.3,Pernambuco,92228.0
6591,Contai,India,IND,,21.78,87.75,West Bengal,92226.0
6592,Santa Barbara,Philippines,PHL,,16.0031,120.4008,Pangasinan,92187.0
6593,Ōbu,Japan,JPN,,35.0117,136.9637,Aichi,92179.0
6594,Teziutlan,Mexico,MEX,,19.8178,-97.3667,Puebla,92170.0
6595,Santa Monica,United States,USA,,34.0235,-118.481,California,92168.0
6596,Pardubice,Czechia,CZE,admin,50.0386,15.7792,Pardubický Kraj,92149.0
6597,Coatepec,Mexico,MEX,minor,19.4522,-96.9614,Veracruz,92127.0
6598,La Spezia,Italy,ITA,minor,44.1,9.8167,Liguria,92119.0
6599,São Roque,Brazil,BRA,,-23.5292,-47.1353,São Paulo,92060.0
6600,Voskresensk,Russia,RUS,minor,55.3167,38.7,Moskovskaya Oblast’,92023.0
6601,Kirkland,United States,USA,,47.697,-122.2057,Washington,92015.0
6602,Hoover,United States,USA,,33.3763,-86.8068,Alabama,91995.0
6603,Kot Kapūra,India,IND,,30.5833,74.9,Punjab,91979.0
6604,Ústí nad Labem,Czechia,CZE,admin,50.6583,14.0417,Ústecký Kraj,91963.0
6605,Netrakona,Bangladesh,BGD,,24.8819,90.7275,Mymensingh,91936.0
6606,Hove,United Kingdom,GBR,,50.8352,-0.1758,Brighton and Hove,91900.0
6607,Cruzeiro do Sul,Brazil,BRA,minor,-7.6308,-72.67,Acre,91888.0
6608,Satsumasendai,Japan,JPN,,31.8167,130.3,Kagoshima,91875.0
6609,Shabqadar,Pakistan,PAK,,34.2054,71.5833,Khyber Pakhtunkhwa,91851.0
6610,Pato Branco,Brazil,BRA,,-26.2167,-52.6667,Paraná,91836.0
6611,O'Fallon,United States,USA,,38.785,-90.7175,Missouri,91825.0
6612,Hamilton,United States,USA,,40.2046,-74.6765,New Jersey,91819.0
6613,Higashi-Matsuyama,Japan,JPN,,36.0422,139.3999,Saitama,91818.0
6614,Tultepec,Mexico,MEX,minor,19.685,-99.1281,México,91808.0
6615,Kakamega,Kenya,KEN,admin,0.2822,34.754,Kakamega,91778.0
6616,Raub,Malaysia,MYS,,3.7952,101.856,Pahang,91731.0
6617,Ţurayf,Saudi Arabia,SAU,,31.6775,38.6531,Al Ḩudūd ash Shamālīyah,91713.0
6618,Southport,United Kingdom,GBR,,53.6475,-3.0053,Sefton,91703.0
6619,Mijas,Spain,ESP,,36.6,-4.6333,Andalusia,91691.0
6620,Ouidah,Benin,BEN,admin,6.3667,2.0833,Atlantique,91688.0
6621,Goalundo Ghāt,Bangladesh,BGD,,23.7333,89.7617,Dhaka,91675.0
6622,Sinendé,Benin,BEN,,10.3447,2.3792,Borgou,91672.0
6623,Linquan,China,CHN,minor,37.9513,110.9877,Shanxi,91670.0
6624,Phú Thọ,Vietnam,VNM,minor,21.4003,105.2225,Phú Thọ,91650.0
6625,Maracay,Venezuela,VEN,admin,10.2469,-67.5961,Aragua,91606.0
6626,Çaycuma,Turkey,TUR,minor,41.4267,32.0758,Zonguldak,91569.0
6627,Niono,Mali,MLI,minor,14.25,-5.9861,Ségou,91554.0
6628,Grahamstown,South Africa,ZAF,,-33.2996,26.52,Eastern Cape,91548.0
6629,Myingyan,Burma,MMR,,21.46,95.3883,Mandalay,91542.0
6630,Alafaya,United States,USA,,28.528,-81.1868,Florida,91531.0
6631,Brossard,Canada,CAN,,45.4667,-73.45,Quebec,91525.0
6632,Satu Mare,Romania,ROU,admin,47.79,22.89,Satu Mare,91520.0
6633,Pīrānshahr,Iran,IRN,minor,36.6956,45.1456,Āz̄arbāyjān-e Gharbī,91515.0
6634,Yao,Chad,TCD,,12.8508,17.5608,Batha,91507.0
6635,Samālūţ,Egypt,EGY,,28.3097,30.7108,Al Minyā,91475.0
6636,Kārwār,India,IND,,14.8,74.13,Karnātaka,91458.0
6637,Mīzan Teferī,Ethiopia,ETH,,7.0,35.5833,YeDebub Bihēroch Bihēreseboch na Hizboch,91437.0
6638,Arzew,Algeria,DZA,,35.85,-0.3167,Oran,91400.0
6639,Salaman,Philippines,PHL,,6.63,124.07,Sultan Kudarat,91344.0
6640,Māndvi,India,IND,,22.8333,69.3556,Gujarāt,91330.0
6641,San Francisco Solano,Argentina,ARG,,-34.7667,-58.3167,Buenos Aires,91322.0
6642,Tucuruí,Brazil,BRA,minor,-3.7678,-49.6728,Pará,91306.0
6643,Kalamariá,Greece,GRC,minor,40.5833,22.95,Kentrikí Makedonía,91279.0
6644,Jauharabad,Pakistan,PAK,,32.2919,72.2736,Punjab,91254.0
6645,Kendu Bay,Kenya,KEN,,-0.3596,34.64,Homa Bay,91248.0
6646,Hilversum,Netherlands,NLD,minor,52.2333,5.1667,Noord-Holland,91235.0
6647,Rāyachoti,India,IND,,14.0583,78.7517,Andhra Pradesh,91234.0
6648,Avaré,Brazil,BRA,,-23.0989,-48.9258,São Paulo,91232.0
6649,Pāloncha,India,IND,,17.6018,80.7051,Telangāna,91196.0
6650,Manhuaçu,Brazil,BRA,,-20.2581,-42.0336,Minas Gerais,91169.0
6651,Caçapava,Brazil,BRA,,-23.1008,-45.7069,São Paulo,91162.0
6652,Xiancun,China,CHN,,23.2374,116.3152,Guangdong,91109.0
6653,Palm Coast,United States,USA,,29.5389,-81.2457,Florida,91082.0
6654,Alessandria,Italy,ITA,minor,44.9167,8.6167,Piedmont,91059.0
6655,Ambohimangakely,Madagascar,MDG,,-18.9167,47.6,Antananarivo,91056.0
6656,Hastings,United Kingdom,GBR,,50.85,0.57,East Sussex,91053.0
6657,Norwalk,United States,USA,,41.1144,-73.4215,Connecticut,91050.0
6658,Agua Prieta,Mexico,MEX,minor,31.3258,-109.5489,Sonora,91029.0
6659,Lawton,United States,USA,,34.6175,-98.4202,Oklahoma,91023.0
6660,Chino,United States,USA,,33.9836,-117.6654,California,91008.0
6661,Lachhmangarh Sīkar,India,IND,,27.8225,75.0253,Rājasthān,90992.0
6662,Maple Ridge,Canada,CAN,,49.2167,-122.6,British Columbia,90990.0
6663,Miaoli,Taiwan,TWN,admin,24.57,120.82,Miaoli,90963.0
6664,Mount Pleasant,United States,USA,,32.8537,-79.8203,South Carolina,90945.0
6665,Velikiye Luki,Russia,RUS,minor,56.3333,30.5333,Pskovskaya Oblast’,90922.0
6666,Tonacatepeque,El Salvador,SLV,,13.7833,-89.1167,San Salvador,90896.0
6667,Grudziądz,Poland,POL,minor,53.4875,18.755,Kujawsko-Pomorskie,90890.0
6668,Guercif,Morocco,MAR,,34.2333,-3.3667,Oriental,90880.0
6669,Solwezi,Zambia,ZMB,admin,-12.1433,26.3858,North-Western,90856.0
6670,Cisauk,Indonesia,IDN,,-6.3333,106.65,Jawa Barat,90846.0
6671,Caimbambo,Angola,AGO,,-12.9,14.0833,Benguela,90838.0
6672,Oudtshoorn,South Africa,ZAF,,-33.5833,22.2,Western Cape,90822.0
6673,Bauan,Philippines,PHL,,13.7917,121.0085,Batangas,90819.0
6674,Pantukan,Philippines,PHL,,7.1269,125.8975,Davao de Oro,90786.0
6675,Pongotan,Philippines,PHL,,7.1269,125.8975,Davao de Oro,90786.0
6676,Rāmagiri Udayagiri,India,IND,,19.1619,84.144,Odisha,90774.0
6677,Cambambe,Angola,AGO,,-9.7586,14.5122,Cuanza-Norte,90766.0
6678,Gwadar,Pakistan,PAK,minor,25.1264,62.3225,Balochistan,90762.0
6679,Mengdingjie,China,CHN,,23.5568,99.0817,Yunnan,90715.0
6680,Manteca,United States,USA,,37.7927,-121.2264,California,90678.0
6681,Funza,Colombia,COL,minor,4.7167,-74.2167,Cundinamarca,90671.0
6682,Zhezqazghan,Kazakhstan,KAZ,admin,47.7833,67.7,Ulytaū,90661.0
6683,Çanakkale,Turkey,TUR,admin,40.1519,26.4056,Çanakkale,90653.0
6684,Katiola,Côte d’Ivoire,CIV,minor,8.1333,-5.1,Vallée du Bandama,90641.0
6685,Westminster,United States,USA,,33.7523,-117.9938,California,90638.0
6686,Biga,Turkey,TUR,minor,40.2281,27.2422,Çanakkale,90576.0
6687,Eslāmābād-e Gharb,Iran,IRN,minor,34.1103,46.5275,Kermānshāh,90559.0
6688,Chililabombwe,Zambia,ZMB,,-12.3667,27.8278,Copperbelt,90530.0
6689,Vanadzor,Armenia,ARM,admin,40.8128,44.4883,Lorri,90525.0
6690,Fundación,Colombia,COL,minor,10.5214,-74.1867,Magdalena,90514.0
6691,Ponnāni,India,IND,,10.77,75.9,Kerala,90491.0
6692,Sahagún,Colombia,COL,minor,8.95,-75.45,Córdoba,90487.0
6693,Arsuz,Turkey,TUR,minor,36.4128,35.8867,Hatay,90456.0
6694,Jāmtāra,India,IND,,23.9633,86.8014,Jhārkhand,90426.0
6695,Florence,United States,USA,,34.178,-79.7898,South Carolina,90419.0
6696,Joplin,United States,USA,,37.0757,-94.5018,Missouri,90384.0
6697,Pinamalayan,Philippines,PHL,,13.0364,121.4889,Oriental Mindoro,90383.0
6698,Avignon,France,FRA,minor,43.95,4.8075,Provence-Alpes-Côte d’Azur,90330.0
6699,Orpington,United Kingdom,GBR,,51.3741,0.0986,Bromley,90315.0
6700,Valjevo,Serbia,SRB,admin,44.2667,19.8833,Valjevo,90312.0
6701,Julu,China,CHN,,37.22,115.0309,Hebei,90311.0
6702,Pazardzhik,Bulgaria,BGR,admin,42.2,24.3333,Pazardzhik,90309.0
6703,Vezirköprü,Turkey,TUR,minor,41.1431,35.46,Samsun,90308.0
6704,Mandurah,Australia,AUS,,-32.5289,115.7231,Western Australia,90306.0
6705,Watford,United Kingdom,GBR,,51.655,-0.3957,Hertfordshire,90301.0
6706,Poitiers,France,FRA,minor,46.58,0.34,Nouvelle-Aquitaine,90240.0
6707,São João del Rei,Brazil,BRA,,-21.1358,-44.26,Minas Gerais,90225.0
6708,Yoshiwara,Japan,JPN,,35.1633,138.6866,Shizuoka,90224.0
6709,Puerto Padre,Cuba,CUB,minor,21.195,-76.6017,Las Tunas,90218.0
6710,Caucasia,Colombia,COL,minor,7.9833,-75.2,Antioquia,90213.0
6711,Germantown,United States,USA,,39.1755,-77.2643,Maryland,90210.0
6712,Peñaflor,Chile,CHL,,-33.6167,-70.9167,Región Metropolitana,90201.0
6713,Imizuchō,Japan,JPN,,36.7306,137.0756,Toyama,90201.0
